转债编码,名称,正股代码,正股名称,转债价格,溢价率,信用,续存期,税前收益率,营收(亿元),应收同比(%),净利润(亿元),净利润同比(%),利润率(%),利润率同比(%),ROE(%),ROE同比(%),负债率,负债率同比(%),报告期,PB,股票市值(亿元),转股余额(亿元),余额/股本(%),双低值
110051,中天转债,600522,中天科技,120.85,3.3,AA+,2.01,-1.65,440.66,13.55,22.75,16.04,5.16,2.18,10.14,4.54,48.55,4.33,2020-12-31,1.58,362.0,39.6,12.8,124.15
128053,尚荣转债,002551,尚荣医疗,118.092,8.1,AA,2.05,-0.85,15.46,33.41,1.28,122.43,8.28,66.6,4.57,86.53,30.9,-23.53,2020-09-30,1.48,44.0,1.91,4.8,126.19
113527,维格转债,603518,锦泓集团,83.97,54.0,AA,2.09,9.81,17.91,-5.09,-9.18,-3143.46,-51.23,-3301.87,-42.89,-3734.75,67.31,15.35,2020-09-30,0.86,14.0,7.46,30.0,137.97
113526,联泰转债,603797,联泰环保,319.79,142.0,AA+,2.09,-24.5,4.39,23.24,1.75,36.95,39.79,11.15,11.44,8.44,74.65,5.7,2020-09-30,2.36,36.0,1.93,7.0,461.79
128052,凯龙转债,002783,凯龙股份,148.295,-1.7,AA,2.17,-6.82,12.32,-9.87,0.62,-32.4,5.04,-25.0,3.6,-40.4,57.3,20.99,2020-09-30,2.2,38.0,0.31,1.2,146.6
123018,溢利转债,300381,溢多利,219.7,98.3,AA-,2.16,-16.2,14.31,2.05,1.23,47.73,8.6,44.78,3.8,0.53,32.06,-24.29,2020-09-30,1.56,45.0,0.54,1.3,318.0
113525,台华转债,603055,台华新材,101.82,30.3,AA,2.2,3.2,16.7,-15.46,0.92,-52.1,5.54,-43.3,3.44,-53.64,47.06,17.36,2020-09-30,1.79,51.0,4.69,7.2,132.12
113524,奇精转债,603677,奇精机械,101.93,26.8,AA,2.21,3.91,15.59,-6.42,0.56,-26.35,3.6,-21.4,5.32,-26.52,42.6,7.87,2020-12-31,2.26,22.0,3.3,12.2,128.73
128051,光华转债,002741,光华科技,112.039,3.2,AA-,2.2,0.67,14.08,12.55,0.21,-37.48,1.52,-44.32,1.69,-36.94,50.54,3.07,2020-09-30,4.27,52.0,2.48,5.2,115.24
128050,钧达转债,002865,钧达股份,132.499,1.3,AA-,2.24,-2.08,8.58,3.84,0.14,-21.37,1.58,-24.04,1.46,-21.51,43.59,-12.89,2020-12-31,2.47,25.0,1.55,8.1,133.8
110048,福能转债,600483,福能股份,123.36,-1.7,AA+,2.24,-2.31,61.76,-16.63,8.11,-17.39,13.14,-0.9,6.05,-25.49,48.15,-0.68,2020-09-30,1.27,179.0,27.6,19.3,121.66
128049,华源转债,002787,华源控股,100.783,23.2,AA-,2.26,3.6,12.52,2.92,0.58,33.67,4.62,29.78,3.72,28.28,37.5,1.46,2020-09-30,1.28,19.0,3.63,15.5,123.98
110047,山鹰转债,600567,山鹰国际,115.07,7.7,AA+,2.28,0.58,170.37,-0.57,9.83,-25.78,5.77,-25.36,6.69,-30.82,65.71,3.61,2020-09-30,1.12,164.0,22.5,14.6,122.77
128048,张行转债,002839,张家港行,114.4,15.6,AA+,2.32,-0.27,31.01,10.46,7.68,4.82,24.77,-5.1,7.11,-1.8,91.9,0.66,2020-09-30,0.98,103.0,25.0,24.0,130.0
113519,长久转债,603569,长久物流,97.67,51.0,AA,2.31,5.78,28.2,-18.16,0.86,29.49,3.04,58.33,3.19,26.09,53.24,1.69,2020-09-30,1.9,40.0,6.97,11.2,148.67
128046,利尔转债,002258,利尔化学,136.757,2.4,AA,2.37,-5.47,49.69,19.33,6.12,96.76,12.32,64.93,16.7,73.24,44.36,-5.28,2020-12-31,3.46,130.0,8.47,8.7,139.16
128044,岭南转债,002717,岭南股份,89.95,67.7,AA,2.55,6.63,45.24,-14.17,0.76,-74.95,1.69,-70.76,1.55,-76.55,72.35,-0.55,2020-09-30,0.98,48.0,6.59,7.3,157.65
123015,蓝盾转债,300297,蓝盾股份,238.0,216.0,AA-,2.53,-20.2,8.44,-35.27,0.21,-88.24,2.45,-81.81,0.53,-85.56,52.86,9.57,2020-09-30,1.41,54.0,1.0,1.4,454.0
113516,苏农转债,603323,苏农银行,106.34,20.8,AA+,2.59,2.22,28.02,7.4,8.83,6.72,31.53,-0.63,7.35,-11.02,90.94,0.04,2020-09-30,0.74,88.0,12.9,13.0,127.14
123014,凯发转债,300407,凯发电气,128.8,37.8,A+,2.59,-7.14,11.92,0.48,0.16,-31.53,1.38,-31.68,1.21,-38.27,49.19,6.7,2020-09-30,1.72,23.0,1.16,4.7,166.6
128042,凯中转债,002823,凯中精密,100.94,22.9,AA,2.55,4.41,12.61,-14.53,0.93,98.53,7.4,132.7,6.59,83.06,54.96,-2.51,2020-09-30,2.26,31.0,4.16,11.2,123.84
123013,横河转债,300539,横河模具,415.0,437.0,A+,2.59,-32.3,4.01,1.99,0.08,20.78,2.04,18.6,1.63,10.88,49.65,-1.95,2020-09-30,3.23,16.0,0.38,1.9,852.0
123012,万顺转债,300057,万顺新材,119.0,29.8,AA-,2.57,-2.3,36.23,14.63,0.5,-40.63,1.38,-48.31,1.48,-46.18,52.91,5.47,2020-09-30,0.96,33.0,1.29,3.6,148.8
123011,德尔转债,300473,德尔股份,97.9,93.0,AA-,2.61,5.44,23.62,-17.54,-0.59,-203.96,-2.51,-226.13,-2.55,-191.4,54.06,-5.33,2020-09-30,0.89,20.0,2.51,6.4,190.9
128041,盛路转债,002446,盛路通信,316.0,272.0,AA,2.61,-26.7,8.27,-18.5,1.78,36.67,21.54,67.63,6.13,46.65,22.73,-27.37,2020-09-30,1.75,53.0,0.53,0.9,588.0
110045,海澜转债,600398,海澜之家,99.6,64.6,AA+,2.65,3.42,117.78,-19.82,12.9,-50.69,10.95,-38.52,9.57,-51.79,49.09,-3.4,2020-09-30,2.42,307.0,29.5,5.8,164.2
123010,博世转债,300422,博世科,100.5,24.4,AA-,2.61,3.52,23.46,-3.38,1.81,-25.83,7.71,-23.21,9.01,-39.33,74.96,-2.97,2020-09-30,1.69,40.0,4.3,8.7,124.9
127007,湖广转债,000665,湖北广电,98.8,42.8,AA+,2.64,4.09,16.14,-13.44,-0.74,-149.46,-4.6,-157.21,-1.09,3.54,43.08,15.77,2020-09-30,0.58,38.0,12.2,22.2,141.6
110044,广电转债,600831,广电网络,269.35,219.0,AA,2.67,-23.9,19.68,0.46,0.45,-48.8,2.27,-48.99,1.21,-50.21,56.13,9.63,2020-09-30,1.12,41.0,0.71,1.4,488.35
128040,华通转债,002758,浙农股份,107.63,6.5,AA-,2.7,1.35,11.07,-12.61,0.23,-13.52,2.11,-0.94,3.48,-14.5,53.18,-6.49,2020-09-30,3.45,51.0,2.22,4.4,114.13
128039,三力转债,002224,三 力 士,105.254,11.8,AA-,2.73,1.35,6.11,-12.88,1.25,24.42,20.48,42.82,5.36,11.67,15.68,-2.31,2020-09-30,1.71,40.0,2.03,4.8,117.05
113509,新泉转债,603179,新泉股份,210.19,4.8,AA,2.75,-18.6,25.62,19.47,1.69,29.07,6.58,8.05,8.89,8.15,57.64,-8.44,2020-09-30,4.68,115.0,0.92,1.6,214.99
113508,新凤转债,603225,新凤鸣,119.1,15.2,AA,2.85,-1.92,230.58,-6.16,2.6,-76.51,1.13,-74.89,2.22,-82.55,57.1,2.39,2020-09-30,2.02,228.0,20.7,9.4,134.3
128036,金农转债,002548,金新农,130.449,24.7,AA-,2.98,-5.88,23.8,29.63,3.25,830.25,13.67,619.47,16.26,597.85,55.04,5.51,2020-09-30,1.92,50.0,1.46,3.0,155.15
128037,岩土转债,002542,中化岩土,95.396,168.0,AA,2.91,5.4,33.73,29.74,1.71,1.83,5.07,-21.52,4.09,-3.76,58.06,9.98,2020-09-30,1.26,51.0,5.99,4.2,263.4
127006,敖东转债,000623,吉林敖东,100.788,30.3,AA+,2.87,2.18,16.16,-31.48,15.04,29.66,93.04,89.22,6.79,26.21,13.65,3.98,2020-09-30,0.81,184.0,24.1,10.1,131.09
127005,长证转债,000783,长江证券,114.974,16.9,AAA,2.95,-2.02,59.01,13.09,19.32,32.06,32.73,16.77,7.0,25.22,78.32,5.64,2020-09-30,1.41,396.0,50.0,12.4,131.87
113505,杭电转债,603618,杭电股份,102.38,11.1,AA,2.99,2.91,43.54,29.24,1.15,17.68,2.63,-9.0,4.28,-0.23,63.05,5.97,2020-09-30,1.79,45.0,7.5,15.2,113.48
113504,艾华转债,603989,艾华集团,132.1,1.9,AA,3.0,-6.32,17.49,7.85,2.67,23.22,15.3,14.26,11.91,16.08,33.45,-2.1,2020-09-30,4.5,109.0,5.59,6.7,134.0
128035,大族转债,002008,大族激光,111.3,44.4,AA+,3.05,-1.24,88.59,27.58,10.2,69.99,11.52,33.33,10.95,55.76,50.51,1.82,2020-09-30,4.67,428.0,23.0,4.1,155.7
